,arrival_sec,depart_sec,duration_sec,episode,id,wait_sec,wait_step
381,1499.00,1355.00,144.00,1,f:4_3.14,8.00,0
382,1504.00,788.00,716.00,1,f:2_5.17,421.44,356
383,1504.00,1399.00,105.00,1,f:4_3.18,20.93,8
384,1506.00,1088.00,418.00,1,f:3_3.17,283.25,266
385,1510.00,999.00,511.00,1,f:3_1.9,352.43,321
386,1511.00,1021.00,490.00,1,f:3_5.11,378.71,337
387,1515.00,666.00,849.00,1,f:2_5.6,731.98,691
388,1521.00,1421.00,100.00,1,f:4_2.20,37.22,25
389,1525.00,799.00,726.00,1,f:2_5.18,581.77,531
390,1527.00,1465.00,62.00,1,f:4_2.24,9.16,0
391,1535.00,1432.00,103.00,1,f:4_3.21,29.29,13
392,1538.00,1476.00,62.00,1,f:4_2.25,9.73,0
393,1553.00,1310.00,243.00,1,f:4_1.10,156.65,119
394,1557.00,1066.00,491.00,1,f:3_8.15,311.76,302
395,1559.00,1488.00,71.00,1,f:4_2.26,11.80,0
396,1560.00,1388.00,172.00,1,f:4_1.17,55.55,20
397,1563.00,1399.00,164.00,1,f:4_1.18,33.55,3
398,1565.00,922.00,643.00,1,f:3_5.2,308.13,218
399,1574.00,1511.00,63.00,1,f:5_2.1,11.83,0
400,1584.00,1165.00,419.00,1,f:3_2.24,223.83,203
401,1588.00,922.00,666.00,1,f:3_8.2,595.16,581
402,1590.00,1344.00,246.00,1,f:4_9.13,131.80,108
403,1595.00,1421.00,174.00,1,f:4_3.20,99.79,77
404,1596.00,1388.00,208.00,1,f:4_2.17,101.24,75
405,1597.00,1399.00,198.00,1,f:4_2.18,112.63,75
406,1597.00,1410.00,187.00,1,f:4_3.19,110.82,86
407,1600.00,1199.00,401.00,1,f:3_7.27,124.89,84
408,1605.00,1511.00,94.00,1,f:5_3.1,22.52,0
409,1613.00,1021.00,592.00,1,f:3_0.11,330.64,316
410,1618.00,1410.00,208.00,1,f:4_9.19,38.91,23
411,1620.00,1410.00,210.00,1,f:4_2.19,148.83,126
412,1620.00,1388.00,232.00,1,f:4_9.17,102.11,66
413,1628.00,1544.00,84.00,1,f:5_2.4,17.90,2
414,1637.00,1200.00,437.00,1,f:4_9.0,322.88,310
415,1639.00,1555.00,84.00,1,f:5_2.5,33.12,13
416,1647.00,1488.00,159.00,1,f:4_3.26,90.77,79
417,1662.00,1588.00,74.00,1,f:5_2.8,19.97,11
418,1669.00,1499.00,170.00,1,f:4_2.27,10.07,0
419,1678.00,1200.00,478.00,1,f:4_2.0,402.10,347
420,1696.00,1621.00,75.00,1,f:5_2.11,18.70,8
421,1721.00,1577.00,144.00,1,f:5_2.7,70.25,55
422,1727.00,1644.00,83.00,1,f:5_2.13,33.97,8
423,1731.00,1632.00,99.00,1,f:5_2.12,47.64,38
424,1738.00,1332.00,406.00,1,f:4_9.12,311.12,301
425,1743.00,1655.00,88.00,1,f:5_2.14,15.16,0
426,1756.00,1588.00,168.00,1,f:5_1.8,14.92,3
427,1758.00,1533.00,225.00,1,f:5_1.3,14.45,2
428,1759.00,1299.00,460.00,1,f:4_3.9,331.88,314
429,1760.00,1599.00,161.00,1,f:5_3.9,39.52,14
430,1761.00,933.00,828.00,1,f:3_8.3,749.75,714
431,1762.00,1621.00,141.00,1,f:5_3.11,16.94,0
432,1764.00,1211.00,553.00,1,f:4_11.1,496.98,462
433,1770.00,1699.00,71.00,1,f:5_2.18,20.55,6
434,1773.00,977.00,796.00,1,f:3_8.7,656.24,611
435,1773.00,1588.00,185.00,1,f:5_3.8,50.08,34
436,1773.00,1299.00,474.00,1,f:4_2.9,320.02,301
437,1775.00,988.00,787.00,1,f:3_8.8,603.91,575
438,1776.00,1577.00,199.00,1,f:5_9.7,9.32,0
439,1776.00,1710.00,66.00,1,f:5_2.19,10.69,0
440,1783.00,1476.00,307.00,1,f:4_3.25,228.23,204
441,1785.00,1721.00,64.00,1,f:5_2.20,11.71,0
442,1787.00,632.00,1155.00,1,f:1_2.25,1001.53,981
443,1792.00,1688.00,104.00,1,f:5_3.17,10.97,0
444,1799.00,1666.00,133.00,1,f:5_2.15,73.50,57
445,1804.00,1677.00,127.00,1,f:5_2.16,63.20,48
446,1806.00,1743.00,63.00,1,f:5_2.22,15.28,0
